traits	HAf
B/Pennsylvania/PIT63/2008_2008-03-20	A
B/Memphis/12/97_1997	B
B/Illinois/UR06-0516/2007_2007-03-05	B
B/Cheongju/437/2008_2008-02-23	B
B/California/NHRC0008/2005_2005-02-22	A
B/Texas/14/1991_1991-01-11	B
B/Johannesburg/69/2001_2001-06-12	B
B/California/NHRC0006/2005_2005-01-21	B
B/New_York/347/1999_1999-01-19	B
B/Taiwan/3001/2006_2006-11-30	A
B/Bucharest/311/1998_1998	A
B/Georgia/NHRC0001/2001_2001-01-09	A
B/Connecticut/07/1993_1993-01-26	B
B/Shanghai-Zhangning/1423/2010_2010-06-11	B
B/Sichuan-Qingyang/1305/2010_2010-07-11	A
B/Taiwan/45/2001_2001-01-03	A
B/Ann_Arbor/1994_1994	A
B/Tianjin-Hexi/180/2011_2011-02-28	B
B/California/NHRC0002/2006_2006-03-09	A
B/Taiwan/500/2005_2005	A
B/Guangdong-Luohu/1512/2010_2010-06-21	A
B/Aichi/1/93_1993	A
B/Mie/01/1993_1993	A
B/Guangdong-Chikan/1370/2010_2010-07-26	A
B/California/NHRC0001/2005_2005-01-25	B
B/Houston/1/91_1991	A
B/Connecticut/02/1995_1995-01-05	A
B/Oita/15/92_1992-10-16	B
B/Hong_Kong/293/02_2002	A
B/Indiana/01/1995_1995	A
B/Tianjin-Binhaixin/1125/2011_2011-04-12	A
B/Houston/B787/2005_2005-01-06	A
B/Beijing/184/93_1993	B
B/Temple/B1181/2001_2001	A
B/Managua/4705.02/2008_2008-04-21	A
B/Houston/B850/2005_2005-01-12	B
B/Bangladesh/3333/2007_2007	A
B/Tianjin-Hexi/1112/2011_2011-03-18	A
B/Temple/B1188/2001_2001	B
B/Hubei-Wujiagang/1112/2010_2010-08-27	B
B/Shanghai-Luwan/1188/2011_2011-04-12	B
B/Taiwan/634/2001_2001-02-28	A
B/Managua/3759.01/2008_2008-06-04	B
B/Taiwan/71523/2007_2007-08-06	A
B/Jiangsu-Beitang/1135/2011_2011-04-05	A
B/California/02/1994_1994-12-13	A
B/Argentina/3640/1999_1999	B
B/Cheongju/411/2008_2008-02-19	B
B/Houston/B69/2002_2002-03-21	B
B/Finland/39/2010_2010-12-30	B
B/Texas/NHRC0001/2005_2005-04-08	A
B/Alaska/16/2000_2000-11-22	B
B/Florida/7/2004_2004	A
B/Georgia/02/1998_1998-11-28	B
B/Beijing/76/98_1998	B
B/Temple/B1182/2001_2001	B
B/Panama/45/90_1990	B
B/Shiga/T30/98_1998	A
B/Taiwan/539/2005_2005-02-07	A
B/Houston/B65/1998_1998-05-04	B
B/Temple/B7/1999_1999-02-11	A
B/Managua/4577.01/2008_2008-06-02	A
B/Moscow/16/2002_2002-02-22	B
B/Houston/B56/1997_1997-01-27	B
B/New_York/24/1993_1993-12-08	A
B/Houston/B846/2005_2005-01-12	A
B/Houston/B745/2005_2005-01-03	A
B/Hunan-Yuhu/134/2011_2011-03-02	A
B/New_York/39/1991_1991-03-20	A
B/Houston/B60/1997_1997-02-25	A
B/Sichuan-Yucheng/1212/2011_2011-04-03	A
B/Singapore/22/1998_1998	B
B/Mississippi/UR06-0031/2007_2007-01-16	A
B/Shanghai-Zhangning/1143/2011_2011-03-01	A
B/Hubei-Wujiagang/158/2009_2009	A
B/Singapore/35/1998_1998-10-22	B
B/Hong_Kong/22/1989_1989	A
B/Heilongjiang-Gongnong/182/2011_2011-02-16	A
B/Bangladesh/1994/2010_2010-01-20	B
B/Hong_Kong/557/2000_2000-10-04	A
B/Johannesburg/05/1999_1999	A
B/Hunan-Lusong/1126/2011_2011-02-16	A
B/Mexico/84/2000_2000-03-10	A
B/Texas/06/2011_2011-02-16	B
B/Hubei-Wuchang/1108/2011_2011-04-03	A
B/Houston/B15/1999_1999-02-12	A
B/Beijing-Huairou/1338/2011_2011-03-10	A
B/Tianjin-Hexi/156/2011_2011-02-15	B
B/Bangkok/460/03_2003	A
B/Alaska/12/96_1996-10-28	B
B/Florida/02/1998_1998-11-11	B
B/Fujian-Xiangcheng/2150/2011_2011-05-30	B
B/Shaanxi-Beilin/1165/2011_2011-02-15	A
B/South_Carolina/NHRC0001/2005_2005-02-15	A
B/Bangladesh/9673/2009_2009-11-01	A
B/Managua/4787.01/2008_2008-03-04	A
B/Victoria/504/2000_2000-08-03	B
B/Hong_Kong/542/2000_2000-07-20	B
B/Singapore/31/1998_1998	A
B/Singapore/04/1991_1991-07-10	A
B/Anhui-Huashan/1216/2011_2011-05-10	A
B/Shanghai-Songjiang/1108/2011_2011-03-02	A
B/Taiwan/3395/2004_2004-12-31	A
B/Bucharest/795/03_2003	A
B/Victoria/02/1987_1987	A
B/North_Carolina/20/2011_2011-01-06	B
B/Anhui-Luyang/1142/2011_2011-05-03	A
B/Nepal/1331/2005_2005-07-13	B
B/Managua/2037.01/2010_2010-08-28	B
B/Managua/4485.05/2010_2010-08-10	B
B/Tennessee/UR06-0079/2007_2007-01-26	B
B/Managua/4468.03/2010_2010-10-11	A
B/Managua/5227.05/2010_2010-08-31	B
B/Mississippi/UR06-0340/2007_2007-02-19	A
B/Temple/B21/2003_2003	A
B/Perth/25/2002_2002-07-09	B
B/Tennessee/UR06-0105/2007_2007-01-29	A
B/California/NHRC0004/2003_2003-03-06	B
B/Fujian-Gulou/1272/2008_2008	B
B/North_Carolina/23/2011_2011-02-18	A
B/Nevada/11/2011_2011-03-14	B
B/Osaka/547/1997_1997	B
B/Brisbane/33/2008_2008-07-13	A
B/Brisbane/32/2002_2002	A
B/Henan/22/97_1997	B
B/Guangxi-Xixiangtang/1545/2010_2010-08-16	A
B/Mississippi/UR06-0477/2007_2007-03-01	A
B/Taiwan/2755/2006_2006-11-11	A
B/California/NHRC0004/2006_2006-02-28	A
B/Managua/2630.01/2010_2010-08-29	B
B/Shaanxi-Beilin/1230/2011_2011-03-02	A
B/Missouri/NHRC0001/2003_2003-03-04	B
B/Houston/B81/2003_2003-01-16	B
B/Texas/UR06-0541/2007_2007-03-06	B
B/Houston/B74/2002_2002-03-18	B
B/Chongqing-Jiulongpo/39/2011_2011-04-12	B
B/Missouri/03/2011_2011-03-01	A
B/Brisbane/60-4/2010_2010-10-09	A
B/Hong_Kong/553a/2003_2003-03-31	B
B/Tennessee/UR06-0320/2007_2007-02-15	A
B/Jiangsu-Nanjinggulou/1655/2011_2011-05-20	A
B/Houston/B77/2002_2002-03-21	A
B/Georgia/NHRC0001/2006_2006-05-29	B
B/Taiwan/2894/2006_2006-11-23	A
B/Managua/1361.01/2010_2010-07-22	A
B/Beijing-Xicheng/11082/2010_2010-05-04	B
B/PHILIPPINES/3701/2011_2011-10-06	B
B/Chongqing-Yuzhong/1294/2010_2010-05-05	A
B/Hong_Kong/167/2002_2002-01-03	A
B/Taiwan/70690/2006_2006-05-12	B
B/Hong_Kong/1434/2002_2002-01-18	A
B/Managua/1312.01/2010_2010-07-03	A
B/Managua/2090.02/2010_2010-07-15	A
B/Akita/27/2001_2001	B
B/Hunan-Suxian/56/2011_2011-04-11	A
B/Florida/UR06-0003/2006_2006-11-16	B
B/North_Carolina/22/2011_2011-01-13	A
B/Shanghai-Luwan/1135/2011_2011-03-13	A
B/Georgia/NHRC0001/2003_2003-01-16	A
B/Taiwan/2643/2002_2002-05-21	A
B/Hunan-Lusong/1325/2011_2011-05-11	B
B/Virginia/05/2011_2011-02-04	A
B/Shanghai-Luwan/1169/2011_2011-04-05	A
B/Hong_Kong/70/1996_1996	B
B/Czechoslovakia/69/1990_1990	A
B/Texas/37/1988_1988	B
B/Taiwan/45/2007_2007-01-03	A
B/Fujian-Gulou/1174/2011_2011-03-09	B
B/Virginia/01/2011_2011-01-25	A
B/Shangdong/7/97_1997	B
B/St._Petersburg/14/2006_2006-03-14	B
B/North_Carolina/18/2011_2011-02-07	A
B/Tennessee/UR06-0310/2007_2007-02-15	A
B/Brisbane/60/2008_2008-08-04	A
B/Taiwan/70028/2007_2007-01-04	B
B/Hunan-Hecheng/1104/2011_2011-03-15	A
B/Washington/04/2011_2011-03-04	B
B/Utah/03/2011_2011-02-21	B
B/North_Carolina/03/2011_2011-01-05	A
B/Panama/307237/2010_2010-06-22	B
B/Taiwan/11/2010_2010-04-06	B
B/Houston/B71/2002_2002-02-23	A
B/Managua/4403.06/2010_2010-09-02	B
B/Jiangsu-Pizhou/529/2011_2011-04-25	A
B/Florida/UR06-0006/2006_2006-11-27	A
B/Hong_Kong/310/2004_2004-11-24	B
B/Bangladesh/5945/2009_2009-09-30	B
B/South_Carolina/04/2003_2003-02-06	A
B/Temple/B19/2003_2003	A
B/Houston/B86/2003_2003-01-21	B
B/Barcelona/215/03_2003	B
B/Fujian-Cangshan/192/2011_2011-02-27	B
B/Ohio/UR06-0572/2007_2007-03-12	B
B/Illinois/NHRC0001/2003_2003-02-24	A
B/VICTORIA/304/2006_2006-06-06	B
B/Iowa/03/2002_2002-03-19	B
B/Hawaii/10/2001_2001-05-09	B
B/Managua/4942.04/2010_2010-09-17	B
B/Taiwan/40/2007_2007-01-13	A
B/Temple/B30/2003_2003	A
B/Fujian-Licheng/118/2010_2010-07-09	B
B/Brisbane/60-5/2010_2010-12-01	A
B/Memphis/3/89_1989	A
B/Managua/5839.01/2010_2010-09-04	A
B/Wisconsin/03/2012_2012	A
B/VICTORIA/500/2012_2012-02-26	A
B/Managua/6006.03/2010_2010-08-05	B
B/Hunan-Suxian/54/2011_2011-04-10	A
B/Texas/NHRC0001/2006_2006-04-05	A
B/Nanchang/6/98_1998	B
B/Moscow/3/03_2003	B
B/Vietnam/92/2011_2011-03-22	B
B/Georgia/01/2011_2011-01-01	B
B/Hong_Kong/02/1993_1993-02-15	A
B/Shanghai-Huangpu/171/2011_2011-02-22	A
B/Houston/B75/2002_2002-03-20	A
B/Temple/B17/2003_2003	A
B/Guatemala/52/2012_2012-02-19	B
B/California/NHRC0005/2003_2003-03-10	B
B/Florida/02/2006_2006-01-09	A
B/Bolivia/104/2010_2010-03-19	B
B/Managua/4772.01/2010_2010-10-08	A
B/Tennessee/UR06-0431/2007_2007-02-26	A
B/Illinois/13/2005_2005-02-03	B
B/Managua/4437.01/2010_2010-10-02	A
B/Taiwan/202/2005_2005	A
B/Virginia/03/2011_2011-02-16	A
B/Nanchang/6/96_1996	A
B/Hong_Kong/22/2001_2001-01-18	B
B/Jiangxi-Donghu/1329/2010_2010-04-01	A
B/Taiwan/1838/2006_2006-12-30	B
B/Illinois/47/2005_2005-03-07	B
B/Illinois/UR06-0016/2007_2007-01-02	A
B/Houston/B79/2003_2003	A
B/Sichuan-Jinjiang/277/2011_2011-03-16	B
B/Ibaraki/2/85_1985	A
B/Guangxi-Xixiangtang/1455/2010_2010-06-18	A
B/Los_Angeles/1/02_2002	A
B/Managua/5590.04/2010_2010-06-04	B
B/Managua/2826.02/2010_2010-08-11	A
B/Hawaii/33/2004_2004	B
B/Tehran/80/02_2002	B
B/Paraguay/636/2003_2003-12-13	B
B/Jiangsu-Chongchuan/11150/2011_2011-06-27	A
B/Maine/05/2011_2011-03-08	B
B/Shanghai-Baoshan/152/2011_2011-02-09	B
B/Sichuan-Wenjiang/279/2011_2011-05-04	A
B/Managua/1504.03/2010_2010-08-20	A
B/Michigan/04/2006_2006-04-04	A
B/Beijing-Xicheng/1875/2011_2011-05-03	B
B/Hawaii/13/2004_2004-06-21	A
B/Shanghai-Hongkou/1255/2011_2011-05-06	A
B/Ann_Arbor/1/1986_1986	B
B/Mississippi/UR06-0492/2007_2007-03-02	B
B/Mississippi/UR06-0446/2007_2007-02-27	B
B/Hong_Kong/28/2001_2001-01-22	A
B/Hong_Kong/06/2001_2001-01-08	B
B/Memphis/13/03_2003	B
B/Brisbane/60-3/2010_2010-11-23	A
B/Mississippi/UR06-0317/2007_2007-02-15	A
B/Taiwan/1734/2006_2006-12-22	B
B/Brisbane/60-6/2010_2010-09-13	B
B/Brisbane/60-7/2010_2010-09-15	A
B/Fujian-Xianyou/137/2011_2011-02-18	B
B/Texas/UR06-0343/2007_2007-02-19	A
B/California/NHRC0001/2006_2006-03-29	A
B/Temple/B24/2003_2003	B
B/Shiga/51/98_1998	B
B/Ohio/UR06-0410/2007_2007-02-23	B
B/Guangdong-Huicheng/1235/2011_2011-06-01	A
B/Managua/3323.01/2010_2010-08-25	A
B/Brisbane/60-12/2010_2010-10-09	A
B/Hong_Kong/1351/02_2002-01-17	A
B/Hong_Kong/123/2001_2001-02-23	A
B/Jiangsu-Beitang/1141/2011_2011-04-07	A
B/Hunan-Hengnan/35/2011_2011-06-29	A
B/Israel/95/03_2003	A
B/Managua/164.02/2010_2010-07-26	B
B/Managua/1499.02/2010_2010-10-05	B
B/Florida/UR06-0002/2006_2006-11-15	B
B/Mississippi/UR06-0348/2007_2007-02-20	B
B/Shanghai-Songjiang/176/2011_2011-02-10	B
B/Houston/B88/2003_2003-01-17	A
B/Boston/DB02/2011_2011-03-18	A
B/Taiwan/70061/2006_2006-01-16	B
B/Laos/89/2011_2011-02-21	A
B/Beijing-Xicheng/1846/2010_2010-04-06	A
B/Tennessee/UR06-0559/2007_2007-03-08	A
B/Beijing/243/97_1997	B
B/Michigan/01/2009_2009-04-04	A
B/North_Carolina/WRAIR1582P/2009_2009-03	B
B/Hong_Kong/1115/2002_2002-01-15	B
B/Illinois/NHRC0001/2006_2006-02-22	A
B/Nevada/12/2011_2011-03-14	A
B/Managua/4834.02/2010_2010-08-03	A
B/Temple/B20/2003_2003	A
B/Taiwan/1484/2001_2001-05-25	B
B/PHILIPPINES/2533/2011_2011-07-27	B
B/Shanghai-Baoshan/193/2011_2011-03-07	B
B/Shanghai-Songjiang/1204/2011_2011-05-04	A
B/Guizhou-Nanming/1443/2010_2010-06-07	A
B/Virginia/04/2011_2011-01-31	B
B/Hunan-Yuhua/1316/2011_2011-06-02	A
B/Mississippi/UR06-0409/2007_2007-02-23	A
B/Aichi/5/88_1988	B
B/Nevada/03/2011_2011-02-02	A
B/Chiba/447/98_1998	B
B/Chongqing-Wanzhou/1162/2011_2011-03-15	B
B/Tennessee/UR06-0261/2007_2007-02-13	A
B/Hunan-Louxing/160/2011_2011-03-14	A
B/Taiwan/94/2005_2005-01-10	A
B/Florida/UR06-0001/2006_2006-11-13	B
B/Shanghai-Chongming/1411/2010_2010-07-12	B
B/Cheju/303/03_2003	A
B/Taiwan/417/2005_2005-01-28	A
B/Hawaii/11/2004_2004-06-14	A
B/South_Carolina/NHRC0001/2004_2004-12-23	B
B/Texas/UR06-0590/2007_2007-03-13	B
B/Chongqing-Wanzhou/1294/2011_2011-06-18	A
B/Tennessee/UR06-0407/2007_2007-02-23	A
B/Norway/24/2011_2011-01-04	B
B/Geneva/5079/03_2003	B
B/Mississippi/UR06-0551/2007_2007-03-08	B
B/Ohio/01/2005_2005-02-23	B
B/Texas/07/2011_2011-03-04	A
B/Cambodia/30/2011_2011-01-04	A
B/Taiwan/42/2007_2007-01-16	B
B/Taiwan/37/2007_2007-01-12	A
B/Brisbane/60-1/2010_2010-10-07	B
B/Managua/5549.04/2010_2010-09-17	A
B/Temple/B18/2003_2003	B
B/Houston/B84/2003_2003-01-15	A
B/Managua/5454.02/2010_2010-07-04	B
B/Houston/B87/2003_2003-01-19	B
B/Tennessee/UR06-0460/2007_2007-02-27	A
B/Malaysia/2506/2004_2004	A
B/Nanchang/2/97_1997	A
B/Taiwan/3246/2002_2002-06-13	A
B/Shanghai-Jingan/1392/2011_2011-04-18	A
B/Brisbane/60-2/2010_2010-11-09	A
B/Hunan-Yuhua/1265/2011_2011-05-03	B
B/Guangdong-Chikan/1155/2011_2011-05-03	B
B/Hong_Kong/330/2001_2001	A
B/North_Carolina/04/2011_2011-01-26	A
B/Managua/1873.01/2010_2010-06-15	A
B/SYDNEY/508/2010_2010-10-11	B
B/Shanghai-Fengxian/1550/2010_2010-09-05	B
B/California/NHRC0005/2006_2006-02-28	A
B/Nanchang/630/94_1994	B
B/Taiwan/91061/2005_2005-11-16	A
B/Ohio/UR06-0428/2007_2007-02-26	A
