PB1 site,PB2 site,N alleles PB1,N alleles PB2,Chi,ChiSqDf
164,14,2,2,2.00921658986,0.00062550047672
164,16,2,2,4.5069124424,0.00418660799137
164,65,2,2,0.995391705069,0.000305616553098
164,77,2,2,4.99539170507,0.00769711429221
164,104,2,2,20.5437788018,0.0142646639206
164,107,2,2,3.00460829493,0.00278461117945
164,109,2,3,4.99539170507,0.00389484409836
164,115,2,2,267.935483871,0.413176068074
164,199,2,2,3.00460829493,0.00278461117945
164,261,2,2,3.00460829493,0.00278461117945
164,272,2,2,3.00460829493,0.00278461117945
164,301,2,2,266.940092166,0.409157533963
164,346,2,2,9.01382488479,0.00843190674897
164,353,2,2,4.5069124424,0.00418660799137
164,382,2,2,290.470046083,0.479233627822
164,383,2,2,270.940092166,0.421511558984
164,393,2,2,4.99539170507,0.00769711429221
164,397,2,2,269.437788018,0.417326691839
164,442,2,2,120.221198157,0.118707115394
164,468,2,2,263.935483871,0.400931570519
164,483,2,2,307.502304147,0.535166703424
164,506,2,2,0.995391705069,0.000305616553098
164,555,2,3,48.5806451613,0.0330662792234
164,559,2,2,3.00460829493,0.00278461117945
164,611,2,2,6.00921658986,0.0055951257187
164,627,2,2,2.00921658986,0.00062550047672
164,639,2,2,267.935483871,0.413176068074
164,640,2,2,5.99078341014,0.00556085244117
164,719,2,2,19.0599078341,0.00912663458589
171,14,2,2,0.0737327188941,4.30663221361e-05
171,16,2,2,0.0552995391705,3.22248002062e-05
171,65,2,2,0.036866359447,2.14334705075e-05
171,77,2,2,0.036866359447,2.14334705075e-05
171,104,2,2,0.350230414747,0.000211958946899
171,107,2,2,0.036866359447,2.14334705075e-05
171,109,2,3,0.147465437788,4.34707007477e-05
171,115,2,2,4.51612903226,0.00600137174211
171,199,2,2,0.036866359447,2.14334705075e-05
171,261,2,2,0.036866359447,2.14334705075e-05
171,272,2,2,0.036866359447,2.14334705075e-05
171,301,2,2,4.47926267281,0.00589005235602
171,346,2,2,0.110599078341,6.49013499481e-05
171,353,2,2,3.94470046083,0.163974105583
171,382,2,2,4.23963133641,0.00521968046478
171,383,2,2,4.47926267281,0.00589005235602
171,393,2,2,0.036866359447,2.14334705075e-05
171,397,2,2,4.49769585253,0.00594541910331
171,442,2,2,6.23041474654,0.016300154321
171,468,2,2,4.51612903226,0.00600137174211
171,483,2,2,3.98156682028,0.0045871559633
171,506,2,2,0.036866359447,2.14334705075e-05
171,555,2,3,0.811059907834,0.000261158594492
171,559,2,2,0.036866359447,2.14334705075e-05
171,611,2,2,0.0737327188941,4.30663221361e-05
171,627,2,2,0.0737327188941,4.30663221361e-05
171,639,2,2,4.51612903226,0.00600137174211
171,640,2,2,0.0737327188941,4.30663221361e-05
171,719,2,2,0.479262672811,0.000295025417574
176,14,2,2,1.03225806452,0.000157499692383
176,16,2,2,2.77419354839,0.0015132356973
176,65,2,2,3.48387096774,0.00357142857143
176,77,2,2,3.48387096774,0.00357142857143
176,104,2,2,38.9032258065,0.0487978983604
176,107,2,2,3.48387096774,0.00357142857143
176,109,2,3,5.54838709677,0.00328319121076
176,115,2,2,426.774193548,1.0
176,199,2,2,3.48387096774,0.00357142857143
176,261,2,2,0.516129032258,7.83852635704e-05
176,272,2,2,3.48387096774,0.00357142857143
176,301,2,2,423.290322581,0.981451009723
176,346,2,2,13.5483870968,0.0181723779855
176,353,2,2,2.77419354839,0.0015132356973
176,382,2,2,360.64516129,0.704747921713
176,383,2,2,423.290322581,0.981451009723
176,393,2,2,3.48387096774,0.00357142857143
176,397,2,2,425.032258065,0.990676691729
176,442,2,2,200.774193548,0.315834403014
176,468,2,2,422.774193548,0.981342570454
176,483,2,2,376.258064516,0.764351245085
176,506,2,2,0.516129032258,7.83852635704e-05
176,555,2,3,79.0322580645,0.0632831366165
176,559,2,2,0.516129032258,7.83852635704e-05
176,611,2,2,9.03225806452,0.0120585701981
176,627,2,2,5.03225806452,0.0037430786268
176,639,2,2,426.774193548,1.0
176,640,2,2,6.96774193548,0.00717607973422
176,719,2,2,45.2903225806,0.0491596638655
177,14,2,2,0.110599078341,6.47493659958e-05
177,16,2,2,3.91705069124,0.108039063336
177,65,2,2,0.0552995391705,3.22248002062e-05
177,77,2,2,0.0552995391705,3.22248002062e-05
177,104,2,2,0.52534562212,0.000318676096497
177,107,2,2,0.0552995391705,3.22248002062e-05
177,109,2,3,0.221198156682,6.53573412634e-05
177,115,2,2,5.22580645161,0.00536957242294
177,199,2,2,0.0552995391705,3.22248002062e-05
177,261,2,2,0.0552995391705,3.22248002062e-05
177,272,2,2,0.0552995391705,3.22248002062e-05
177,301,2,2,5.28110599078,0.00547105496835
177,346,2,2,0.165898617511,9.75778996899e-05
177,353,2,2,0.0829493087557,4.84493515862e-05
177,382,2,2,5.64055299539,0.00617371128821
177,383,2,2,5.28110599078,0.00547105496835
177,393,2,2,0.0552995391705,3.22248002062e-05
177,397,2,2,5.2534562212,0.00542010573961
177,442,2,2,2.65437788018,0.00197696289076
177,468,2,2,5.22580645161,0.00536957242294
177,483,2,2,6.02764976959,0.00702500644496
177,506,2,2,0.0552995391705,3.22248002062e-05
177,555,2,3,1.21658986175,0.000392646796359
177,559,2,2,0.0552995391705,3.22248002062e-05
177,611,2,2,0.110599078341,6.47493659958e-05
177,627,2,2,0.110599078341,6.47493659958e-05
177,639,2,2,5.22580645161,0.00536957242294
177,640,2,2,0.110599078341,6.47493659958e-05
177,719,2,2,0.718894009217,0.000443564896956
190,14,2,2,0.0737327188941,4.30663221361e-05
190,16,2,2,0.0552995391705,3.22248002062e-05
190,65,2,2,0.036866359447,2.14334705075e-05
190,77,2,2,0.036866359447,2.14334705075e-05
190,104,2,2,0.350230414747,0.000211958946899
190,107,2,2,0.036866359447,2.14334705075e-05
190,109,2,3,0.147465437788,4.34707007477e-05
190,115,2,2,3.48387096774,0.00357142857143
190,199,2,2,0.036866359447,2.14334705075e-05
190,261,2,2,0.036866359447,2.14334705075e-05
190,272,2,2,0.036866359447,2.14334705075e-05
190,301,2,2,3.52073732719,0.00363892699284
190,346,2,2,0.110599078341,6.49013499481e-05
190,353,2,2,0.0552995391705,3.22248002062e-05
190,382,2,2,3.76036866359,0.00410628019324
190,383,2,2,3.52073732719,0.00363892699284
190,393,2,2,0.036866359447,2.14334705075e-05
190,397,2,2,3.50230414747,0.0036050394657
190,442,2,2,1.76958525346,0.00131492439185
190,468,2,2,3.48387096774,0.00357142857143
190,483,2,2,4.01843317972,0.00467249657064
190,506,2,2,0.036866359447,2.14334705075e-05
190,555,2,3,7.83410138249,0.109310699588
190,559,2,2,0.036866359447,2.14334705075e-05
190,611,2,2,0.0737327188941,4.30663221361e-05
190,627,2,2,0.0737327188941,4.30663221361e-05
190,639,2,2,3.48387096774,0.00357142857143
190,640,2,2,0.0737327188941,4.30663221361e-05
190,719,2,2,0.479262672811,0.000295025417574
196,14,2,2,0.995391705069,0.000617107593852
196,16,2,2,0.746543778802,0.000461756842267
196,65,2,2,0.497695852535,0.000307125307125
196,77,2,2,0.497695852535,0.000307125307125
196,104,2,2,4.72811059908,0.00303721026613
196,107,2,2,0.497695852535,0.000307125307125
196,109,2,3,1.99078341014,0.000622902031353
196,115,2,2,47.0322580645,0.0511758511759
196,199,2,2,0.497695852535,0.000307125307125
196,261,2,2,0.497695852535,0.000307125307125
196,272,2,2,0.497695852535,0.000307125307125
196,301,2,2,47.5299539171,0.0521430521431
196,346,2,2,1.4930875576,0.000929986911295
196,353,2,2,0.746543778802,0.000461756842267
196,382,2,2,38.7649769585,0.0343101297065
196,383,2,2,47.5299539171,0.0521430521431
196,393,2,2,0.497695852535,0.000307125307125
196,397,2,2,47.2811059908,0.0516574696903
196,442,2,2,23.8894009217,0.0188418649957
196,468,2,2,43.0322580645,0.0428412058042
196,483,2,2,42.2488479263,0.0406088601807
196,506,2,2,0.497695852535,0.000307125307125
196,555,2,3,10.9493087558,0.0037422037422
196,559,2,2,0.497695852535,0.000307125307125
196,611,2,2,0.995391705069,0.000617107593852
196,627,2,2,3.00460829493,0.00562274748321
196,639,2,2,47.0322580645,0.0511758511759
196,640,2,2,0.995391705069,0.000617107593852
196,719,2,2,6.47004608295,0.00422748952161
211,14,2,2,0.921658986175,0.000125128131206
211,16,2,2,2.69124423963,0.00141922281239
211,65,2,2,3.53917050691,0.00367309458219
211,77,2,2,3.53917050691,0.00367309458219
211,104,2,2,38.3778801843,0.0473263650513
211,107,2,2,3.53917050691,0.00367309458219
211,109,2,3,5.38248847926,0.00323982462267
211,115,2,2,417.548387097,0.953956593351
211,199,2,2,3.53917050691,0.00367309458219
211,261,2,2,0.460829493088,6.22744171513e-05
211,272,2,2,3.53917050691,0.00367309458219
211,301,2,2,414.00921659,0.935671194763
211,346,2,2,13.3824884793,0.0176693925234
211,353,2,2,2.69124423963,0.00141922281239
211,382,2,2,367.004608295,0.727323991191
211,383,2,2,422.00921659,0.972180963417
211,393,2,2,3.53917050691,0.00367309458219
211,397,2,2,419.778801843,0.963031430941
211,442,2,2,198.119815668,0.306486097188
211,468,2,2,413.548387097,0.935766849593
211,483,2,2,382.230414747,0.786109636819
211,506,2,2,0.460829493088,6.22744171513e-05
211,555,2,3,78.064516129,0.0619394888571
211,559,2,2,0.460829493088,6.22744171513e-05
211,611,2,2,8.92165898618,0.0117248062016
211,627,2,2,4.92165898618,0.00356810373823
211,639,2,2,417.548387097,0.953956593351
211,640,2,2,7.07834101382,0.00738035748607
211,719,2,2,42.0092165899,0.0421500928791
213,14,2,2,1.54838709677,0.00036203645506
213,16,2,2,3.16129032258,0.00200748312117
213,65,2,2,3.22580645161,0.00312812812813
213,77,2,2,3.22580645161,0.00312812812813
213,104,2,2,41.3548387097,0.0563342645118
213,107,2,2,3.22580645161,0.00312812812813
213,109,2,3,6.32258064516,0.00355719905016
213,115,2,2,395.161290323,0.875875875876
213,199,2,2,3.22580645161,0.00312812812813
213,261,2,2,3.22580645161,0.00312812812813
213,272,2,2,3.22580645161,0.00312812812813
213,301,2,2,391.935483871,0.859629262771
213,346,2,2,14.3225806452,0.0207476635514
213,353,2,2,3.16129032258,0.00200748312117
213,382,2,2,330.967741935,0.60636621276
213,383,2,2,391.935483871,0.859629262771
213,393,2,2,3.22580645161,0.00312812812813
213,397,2,2,393.548387097,0.867709815078
213,442,2,2,213.161290323,0.363705954475
213,468,2,2,391.161290323,0.858233603866
213,483,2,2,348.387096774,0.669476816266
213,506,2,2,3.22580645161,0.00312812812813
213,555,2,3,83.5483870968,0.0703395703396
213,559,2,2,0.774193548387,0.00018018018018
213,611,2,2,9.54838709677,0.0137674418605
213,627,2,2,5.54838709677,0.00464864864865
213,639,2,2,395.161290323,0.875875875876
213,640,2,2,6.45161290323,0.00628535512256
213,719,2,2,41.935483871,0.043057763646
214,14,2,2,0.589861751152,5.08486611756e-05
214,16,2,2,5.55760368664,0.00600460053972
214,65,2,2,4.29493087558,0.00536668509305
214,77,2,2,4.29493087558,0.00536668509305
214,104,2,2,31.198156682,0.0310287063922
214,107,2,2,4.29493087558,0.00536668509305
214,109,2,3,4.29493087558,0.00314031607062
214,115,2,2,346.129032258,0.650362760307
214,199,2,2,0.294930875576,2.53066253536e-05
214,261,2,2,3.70506912442,0.00399380066762
214,272,2,2,0.294930875576,2.53066253536e-05
214,301,2,2,345.834101382,0.647744132116
214,346,2,2,11.1152073733,0.0120933777225
214,353,2,2,5.55760368664,0.00600460053972
214,382,2,2,373.917050691,0.749031416321
214,383,2,2,349.834101382,0.662814713331
214,393,2,2,4.29493087558,0.00536668509305
214,397,2,2,347.98156682,0.656563218118
214,442,2,2,157.843317972,0.193006514376
214,468,2,2,342.129032258,0.635417932704
214,483,2,2,387.852534562,0.803027689954
214,506,2,2,0.294930875576,2.53066253536e-05
214,555,2,3,64.8387096774,0.0441640884021
214,559,2,2,3.70506912442,0.00399380066762
214,611,2,2,7.41013824885,0.00802475296936
214,627,2,2,3.41013824885,0.00169950725462
214,639,2,2,346.129032258,0.650362760307
214,640,2,2,8.58986175115,0.0107832928381
214,719,2,2,51.8341013825,0.0636656437129
298,14,3,2,0.221198156682,6.5203216692e-05
298,16,3,2,0.165898617511,4.8788949845e-05
298,65,3,2,0.110599078341,3.2450674974e-05
298,77,3,2,0.110599078341,3.2450674974e-05
298,104,3,2,1.05069124424,0.000320909807454
298,107,3,2,0.110599078341,3.2450674974e-05
298,109,3,3,0.442396313364,6.58154534685e-05
298,115,3,2,10.4516129032,0.00540720961282
298,199,3,2,0.110599078341,3.2450674974e-05
298,261,3,2,0.110599078341,3.2450674974e-05
298,272,3,2,0.110599078341,3.2450674974e-05
298,301,3,2,10.5622119816,0.00550940348448
298,346,3,2,0.331797235023,9.82618569307e-05
298,353,3,2,0.165898617511,4.8788949845e-05
298,382,3,2,3.76036866359,0.00206754786433
298,383,3,2,10.5622119816,0.00550940348448
298,393,3,2,0.110599078341,3.2450674974e-05
298,397,3,2,10.5069124424,0.00545809713498
298,442,3,2,5.30875576037,0.00199082010728
298,468,3,2,10.4516129032,0.00540720961282
298,483,3,2,4.01843317972,0.00345644345366
298,506,3,2,0.110599078341,3.2450674974e-05
298,555,3,3,2.4331797235,0.00039539899353
298,559,3,2,0.110599078341,3.2450674974e-05
298,611,3,2,0.221198156682,6.5203216692e-05
298,627,3,2,0.221198156682,6.5203216692e-05
298,639,3,2,10.4516129032,0.00540720961282
298,640,3,2,0.221198156682,6.5203216692e-05
298,719,3,2,1.43778801843,0.000446673996701
317,14,2,2,0.110599078341,6.47493659958e-05
317,16,2,2,0.0829493087557,4.84493515862e-05
317,65,2,2,0.0552995391705,3.22248002062e-05
317,77,2,2,0.0552995391705,3.22248002062e-05
317,104,2,2,0.52534562212,0.000318676096497
317,107,2,2,0.0552995391705,3.22248002062e-05
317,109,2,3,0.221198156682,6.53573412634e-05
317,115,2,2,1.22580645161,0.000295445152367
317,199,2,2,0.0552995391705,3.22248002062e-05
317,261,2,2,0.0552995391705,3.22248002062e-05
317,272,2,2,0.0552995391705,3.22248002062e-05
317,301,2,2,1.28110599078,0.000321952227928
317,346,2,2,0.165898617511,9.75778996899e-05
317,353,2,2,0.0829493087557,4.84493515862e-05
317,382,2,2,1.64055299539,0.0005222560459
317,383,2,2,1.28110599078,0.000321952227928
317,393,2,2,0.0552995391705,3.22248002062e-05
317,397,2,2,1.2534562212,0.000308557327669
317,442,2,2,2.65437788018,0.00197696289076
317,468,2,2,1.22580645161,0.000295445152367
317,483,2,2,2.02764976959,0.000794944102947
317,506,2,2,0.0552995391705,3.22248002062e-05
317,555,2,3,1.21658986175,0.000392646796359
317,559,2,2,0.0552995391705,3.22248002062e-05
317,611,2,2,0.110599078341,6.47493659958e-05
317,627,2,2,0.110599078341,6.47493659958e-05
317,639,2,2,1.22580645161,0.000295445152367
317,640,2,2,0.110599078341,6.47493659958e-05
317,719,2,2,0.718894009217,0.000443564896956
339,14,2,2,0.0737327188941,4.30663221361e-05
339,16,2,2,0.0552995391705,3.22248002062e-05
339,65,2,2,0.036866359447,2.14334705075e-05
339,77,2,2,0.036866359447,2.14334705075e-05
339,104,2,2,0.350230414747,0.000211958946899
339,107,2,2,0.036866359447,2.14334705075e-05
339,109,2,3,0.147465437788,4.34707007477e-05
339,115,2,2,4.51612903226,0.00600137174211
339,199,2,2,0.036866359447,2.14334705075e-05
339,261,2,2,0.036866359447,2.14334705075e-05
339,272,2,2,0.036866359447,2.14334705075e-05
339,301,2,2,4.47926267281,0.00589005235602
339,346,2,2,0.110599078341,6.49013499481e-05
339,353,2,2,0.0552995391705,3.22248002062e-05
339,382,2,2,4.23963133641,0.00521968046478
339,383,2,2,4.47926267281,0.00589005235602
339,393,2,2,0.036866359447,2.14334705075e-05
339,397,2,2,4.49769585253,0.00594541910331
339,442,2,2,6.23041474654,0.016300154321
339,468,2,2,4.51612903226,0.00600137174211
339,483,2,2,3.98156682028,0.0045871559633
339,506,2,2,0.036866359447,2.14334705075e-05
339,555,2,3,7.35483870968,0.0263888888889
339,559,2,2,0.036866359447,2.14334705075e-05
339,611,2,2,0.0737327188941,4.30663221361e-05
339,627,2,2,0.0737327188941,4.30663221361e-05
339,639,2,2,4.51612903226,0.00600137174211
339,640,2,2,0.0737327188941,4.30663221361e-05
339,719,2,2,0.479262672811,0.000295025417574
343,14,2,2,0.110599078341,6.47493659958e-05
343,16,2,2,0.0829493087557,4.84493515862e-05
343,65,2,2,0.0552995391705,3.22248002062e-05
343,77,2,2,0.0552995391705,3.22248002062e-05
343,104,2,2,0.52534562212,0.000318676096497
343,107,2,2,0.0552995391705,3.22248002062e-05
343,109,2,3,0.221198156682,6.53573412634e-05
343,115,2,2,5.22580645161,0.00536957242294
343,199,2,2,0.0552995391705,3.22248002062e-05
343,261,2,2,0.0552995391705,3.22248002062e-05
343,272,2,2,0.0552995391705,3.22248002062e-05
343,301,2,2,5.28110599078,0.00547105496835
343,346,2,2,0.165898617511,9.75778996899e-05
343,353,2,2,0.0829493087557,4.84493515862e-05
343,382,2,2,2.35944700461,0.00108024782932
343,383,2,2,5.28110599078,0.00547105496835
343,393,2,2,0.0552995391705,3.22248002062e-05
343,397,2,2,5.2534562212,0.00542010573961
343,442,2,2,2.65437788018,0.00197696289076
343,468,2,2,5.22580645161,0.00536957242294
343,483,2,2,1.97235023041,0.000752174796251
343,506,2,2,0.0552995391705,3.22248002062e-05
343,555,2,3,1.21658986175,0.000392646796359
343,559,2,2,0.0552995391705,3.22248002062e-05
343,611,2,2,0.110599078341,6.47493659958e-05
343,627,2,2,0.110599078341,6.47493659958e-05
343,639,2,2,5.22580645161,0.00536957242294
343,640,2,2,0.110599078341,6.47493659958e-05
343,719,2,2,0.718894009217,0.000443564896956
356,14,2,2,0.0737327188941,4.30663221361e-05
356,16,2,2,0.0552995391705,3.22248002062e-05
356,65,2,2,0.036866359447,2.14334705075e-05
356,77,2,2,0.036866359447,2.14334705075e-05
356,104,2,2,0.350230414747,0.000211958946899
356,107,2,2,0.036866359447,2.14334705075e-05
356,109,2,3,0.147465437788,4.34707007477e-05
356,115,2,2,4.51612903226,0.00600137174211
356,199,2,2,0.036866359447,2.14334705075e-05
356,261,2,2,0.036866359447,2.14334705075e-05
356,272,2,2,0.036866359447,2.14334705075e-05
356,301,2,2,4.47926267281,0.00589005235602
356,346,2,2,0.110599078341,6.49013499481e-05
356,353,2,2,0.0552995391705,3.22248002062e-05
356,382,2,2,4.23963133641,0.00521968046478
356,383,2,2,4.47926267281,0.00589005235602
356,393,2,2,0.036866359447,2.14334705075e-05
356,397,2,2,4.49769585253,0.00594541910331
356,442,2,2,2.23041474654,0.00208895486339
356,468,2,2,4.51612903226,0.00600137174211
356,483,2,2,3.98156682028,0.0045871559633
356,506,2,2,0.036866359447,2.14334705075e-05
356,555,2,3,0.811059907834,0.000261158594492
356,559,2,2,0.036866359447,2.14334705075e-05
356,611,2,2,0.0737327188941,4.30663221361e-05
356,627,2,2,0.0737327188941,4.30663221361e-05
356,639,2,2,4.51612903226,0.00600137174211
356,640,2,2,0.0737327188941,4.30663221361e-05
356,719,2,2,0.479262672811,0.000295025417574
357,14,2,2,1.8801843318,0.00123869087376
357,16,2,2,1.41013824885,0.000926862660762
357,65,2,2,0.940092165899,0.000616478096896
357,77,2,2,0.940092165899,0.000616478096896
357,104,2,2,8.93087557604,0.00609644845701
357,107,2,2,0.940092165899,0.000616478096896
357,109,2,3,3.76036866359,0.00125032177399
357,115,2,2,111.161290323,0.16083101261
357,199,2,2,0.940092165899,0.000616478096896
357,261,2,2,0.940092165899,0.000616478096896
357,272,2,2,0.940092165899,0.000616478096896
357,301,2,2,110.221198157,0.157754276378
357,346,2,2,2.8202764977,0.00186671872331
357,353,2,2,1.41013824885,0.000926862660762
357,382,2,2,104.110599078,0.139226662955
357,383,2,2,110.221198157,0.157754276378
357,393,2,2,0.940092165899,0.000616478096896
357,397,2,2,110.69124424,0.159284544326
357,442,2,2,118.875576037,0.262474950095
357,468,2,2,111.161290323,0.16083101261
357,483,2,2,97.5299539171,0.121746453665
357,506,2,2,0.940092165899,0.000616478096896
357,555,2,3,123.548387097,0.329541853563
357,559,2,2,0.940092165899,0.000616478096896
357,611,2,2,14.1198156682,0.0698586411309
357,627,2,2,1.8801843318,0.00123869087376
357,639,2,2,111.161290323,0.16083101261
357,640,2,2,1.8801843318,0.00123869087376
357,719,2,2,12.2211981567,0.00848563968668
377,14,2,2,2.26728110599,0.00193434058663
377,16,2,2,2.70046082949,0.00365029440594
377,65,2,2,3.133640553,0.00735589071946
377,77,2,2,0.866359447005,0.000562254761221
377,104,2,2,8.23041474654,0.00556022539771
377,107,2,2,7.133640553,0.0381205673759
377,109,2,3,3.46543778802,0.00114034768473
377,115,2,2,73.8709677419,0.0762729145268
377,199,2,2,3.133640553,0.00735589071946
377,261,2,2,0.866359447005,0.000562254761221
377,272,2,2,3.133640553,0.00735589071946
377,301,2,2,70.7373271889,0.0697763591147
377,346,2,2,2.59907834101,0.00170252843585
377,353,2,2,2.70046082949,0.00365029440594
377,382,2,2,80.3686635945,0.0890976282612
377,383,2,2,74.7373271889,0.0778907950906
377,393,2,2,0.866359447005,0.000562254761221
377,397,2,2,74.3041474654,0.0770785147287
377,442,2,2,29.5852534562,0.0174587565279
377,468,2,2,73.8709677419,0.0762729145268
377,483,2,2,86.4331797235,0.102683671601
377,506,2,2,0.866359447005,0.000562254761221
377,555,2,3,19.0599078341,0.00685085801365
377,559,2,2,0.866359447005,0.000562254761221
377,611,2,2,1.73271889401,0.00112973979929
377,627,2,2,1.73271889401,0.00112973979929
377,639,2,2,73.8709677419,0.0762729145268
377,640,2,2,14.267281106,0.0765957446809
377,719,2,2,80.7373271889,0.397709420616
387,14,2,2,0.331797235023,0.000196990424077
387,16,2,2,0.248847926267,0.000147400027296
387,65,2,2,0.165898617512,9.80392156863e-05
387,77,2,2,0.165898617512,9.80392156863e-05
387,104,2,2,1.57603686636,0.000969525159461
387,107,2,2,0.165898617512,9.80392156863e-05
387,109,2,3,0.663594470046,0.00019884009942
387,115,2,2,15.6774193548,0.0163361344538
387,199,2,2,0.165898617512,9.80392156863e-05
387,261,2,2,0.165898617512,9.80392156863e-05
387,272,2,2,0.165898617512,9.80392156863e-05
387,301,2,2,15.8433179724,0.0166448801743
387,346,2,2,0.497695852535,0.000296866410115
387,353,2,2,0.248847926267,0.000147400027296
387,382,2,2,16.9216589862,0.0187826086957
387,383,2,2,15.8433179724,0.0166448801743
387,393,2,2,0.165898617512,9.80392156863e-05
387,397,2,2,15.7603686636,0.0164898746384
387,442,2,2,7.96313364055,0.0060146188653
387,468,2,2,15.6774193548,0.0163361344538
387,483,2,2,18.0829493088,0.0213725490196
387,506,2,2,0.165898617512,9.80392156863e-05
387,555,2,3,31.2534562212,0.392984972907
387,559,2,2,0.165898617512,9.80392156863e-05
387,611,2,2,0.331797235023,0.000196990424077
387,627,2,2,0.331797235023,0.000196990424077
387,639,2,2,15.6774193548,0.0163361344538
387,640,2,2,0.331797235023,0.000196990424077
387,719,2,2,2.15668202765,0.00134948096886
390,14,2,2,1.8801843318,0.00123869087376
390,16,2,2,1.41013824885,0.000926862660762
390,65,2,2,0.940092165899,0.000616478096896
390,77,2,2,0.940092165899,0.000616478096896
390,104,2,2,8.93087557604,0.00609644845701
390,107,2,2,0.940092165899,0.000616478096896
390,109,2,3,3.76036866359,0.00125032177399
390,115,2,2,115.161290323,0.172613867131
390,199,2,2,0.940092165899,0.000616478096896
390,261,2,2,0.940092165899,0.000616478096896
390,272,2,2,0.940092165899,0.000616478096896
390,301,2,2,114.221198157,0.169412054188
390,346,2,2,2.8202764977,0.00186671872331
390,353,2,2,1.41013824885,0.000926862660762
