HA site,NA site,N alleles HA,N alleles NA,Chi,ChiSqDf
52,392,2,2,0.0737327188941,4.30663221361e-05
52,396,2,4,3.63133640553,0.00721202913794
52,397,2,3,9.54838709677,0.00688372093023
52,403,2,2,0.331797235023,0.000196990424077
52,417,2,2,0.0737327188941,4.30663221361e-05
52,445,2,3,0.147465437788,4.32666306111e-05
52,446,2,2,3.92626728111,0.122117248062
52,464,2,2,12.8294930876,0.0376419686317
52,465,2,2,0.0737327188941,4.30663221361e-05
55,26,2,2,2.00921658986,0.00155270655271
55,27,2,2,42.2119815668,0.0331765742677
55,34,2,2,14.064516129,0.0111794871795
55,35,2,2,4.03686635945,0.00158905443955
55,39,2,2,3.01382488479,0.00233446368017
55,44,2,3,24.1474654378,0.0141619618913
55,45,2,3,9.04147465438,0.00366999685404
55,47,2,2,3.01382488479,0.00233446368017
55,48,2,2,3.01382488479,0.00233446368017
55,50,2,4,12.0552995392,0.00996700481538
55,51,2,3,61.2811059908,0.0274242111776
55,52,2,2,3.01382488479,0.00233446368017
55,53,2,3,20.0921658986,0.0081010776663
55,59,2,3,5.99078341014,0.00765705470122
55,61,2,2,29.133640553,0.0240151946819
55,68,2,2,54.9032258065,0.115498407154
55,69,2,2,13.0599078341,0.0103562945368
55,71,2,2,32.1474654378,0.0266972828167
55,76,2,2,2.00921658986,0.00155270655271
55,89,2,2,29.133640553,0.0240151946819
55,95,2,2,2.00921658986,0.00155270655271
55,121,2,2,3.01382488479,0.00233446368017
55,126,2,3,163.769585253,0.184580524105
55,129,2,2,2.00921658986,0.00155270655271
55,133,2,2,3.01382488479,0.00233446368017
55,148,2,2,1.99078341014,0.00152434721242
55,149,2,2,234.073732719,0.388779181018
55,154,2,2,1.99078341014,0.00152434721242
55,158,2,2,2.00921658986,0.00155270655271
55,170,2,2,3.01382488479,0.00233446368017
55,187,2,2,120.377880184,0.119299340588
55,192,2,2,5.99078341014,0.0138039415562
55,199,2,2,211.004608295,0.314212351786
55,200,2,3,33.1520737327,0.0144411841177
55,203,2,2,33.1520737327,0.0276002301937
55,205,2,2,71.3271889401,0.0655986437805
55,211,2,2,3.01382488479,0.00233446368017
55,220,2,3,288.543778802,0.417153775882
55,221,2,2,110.506912442,0.113865147198
55,236,2,2,227.244239631,0.387550027126
55,245,2,2,272.580645161,0.7910503651
55,251,2,3,40.1843317972,0.0170245997657
55,269,2,2,2.00921658986,0.00155270655271
55,272,2,3,27.1244239631,0.0111245511246
55,296,2,3,4.98617511521,0.00319496666165
55,321,2,3,165.760368664,0.102859593938
55,330,2,3,276.488479263,0.354306878509
55,340,2,2,2.97695852535,0.00137299162846
55,343,2,4,28.9493087558,0.025642826512
55,346,2,4,28.1290322581,0.00770999115827
55,361,2,2,9.04147465438,0.00710226244344
55,362,2,2,2.00921658986,0.00155270655271
55,374,2,3,208.958525346,0.154336283186
55,379,2,2,35.1797235023,0.0266976329758
55,385,2,2,22.1013824885,0.0179088872293
55,390,2,3,216.995391705,0.166153846154
55,392,2,2,2.00921658986,0.00155270655271
55,396,2,4,32.1658986175,0.00805569051247
55,397,2,3,207.953917051,0.152917655032
55,403,2,2,18.9585253456,0.0312267858543
55,417,2,2,2.00921658986,0.00155270655271
55,445,2,3,2.00921658986,0.00153143719946
55,446,2,2,1.99078341014,0.00152434721242
55,464,2,2,109.603686636,0.133389684997
55,465,2,2,2.00921658986,0.00155270655271
57,26,2,2,0.0737327188941,4.30663221361e-05
57,27,2,2,1.69585253456,0.00110285303285
57,34,2,2,0.516129032258,0.00031007751938
57,35,2,2,0.294930875576,0.000174691560214
57,39,2,2,0.110599078341,6.47493659958e-05
57,44,2,3,1.2534562212,0.000395348837209
57,45,2,3,0.700460829493,0.000212944802466
57,47,2,2,0.110599078341,6.47493659958e-05
57,48,2,2,0.110599078341,6.47493659958e-05
57,50,2,4,0.552995391705,0.000111006271854
57,51,2,3,2.24884792627,0.000760645925556
57,52,2,2,0.110599078341,6.47493659958e-05
57,53,2,3,0.73732718894,0.000224693854623
57,59,2,3,0.147465437788,4.32666306111e-05
57,61,2,2,2.93087557604,0.0050057916778
57,68,2,2,0.774193548387,0.000472999605834
57,69,2,2,0.479262672811,0.000287245207977
57,71,2,2,1.1797235023,0.00074048362837
57,76,2,2,0.0737327188941,4.30663221361e-05
57,89,2,2,1.06912442396,0.000666092449038
57,95,2,2,0.0737327188941,4.30663221361e-05
57,121,2,2,0.110599078341,6.47493659958e-05
57,126,2,3,9.84331797235,0.00743629021028
57,129,2,2,0.0737327188941,4.30663221361e-05
57,133,2,2,0.110599078341,6.47493659958e-05
57,148,2,2,0.0737327188941,4.30663221361e-05
57,149,2,2,7.41013824885,0.00802475296936
57,154,2,2,0.0737327188941,4.30663221361e-05
57,158,2,2,0.0737327188941,4.30663221361e-05
57,170,2,2,0.110599078341,6.47493659958e-05
57,187,2,2,4.97695852535,0.00420004666719
57,192,2,2,0.0737327188941,4.30663221361e-05
57,199,2,2,7.96313364055,0.00921698314487
57,200,2,3,1.29032258065,0.000407996736026
57,203,2,2,1.21658986175,0.000765528040364
57,205,2,2,2.61751152074,0.00181946313025
57,211,2,2,0.110599078341,6.47493659958e-05
57,220,2,3,3.79723502304,0.00144734068714
57,221,2,2,7.94470046083,0.0121212773732
57,236,2,2,6.04608294931,0.00565030146425
57,245,2,2,3.35483870968,0.00246796392976
57,251,2,3,1.47465437788,0.000472199268091
57,269,2,2,0.0737327188941,4.30663221361e-05
57,272,2,3,0.995391705069,0.000308553796926
57,296,2,3,0.258064516129,7.62485703393e-05
57,321,2,3,10.6912442396,0.0093669250646
57,330,2,3,4.20276497696,0.00165697674419
57,340,2,2,3.81566820276,0.0464563343633
57,343,2,4,1.29032258065,0.000271997824017
57,346,2,4,1.03225806452,0.00021384656509
57,361,2,2,0.331797235023,0.000196990424077
57,362,2,2,0.0737327188941,4.30663221361e-05
57,374,2,3,8.40552995392,0.00514788891398
57,379,2,2,1.43778801843,0.000918457462467
57,385,2,2,0.811059907834,0.000496726123278
57,390,2,3,8.70046082949,0.00554381019497
57,392,2,2,0.0737327188941,4.30663221361e-05
57,396,2,4,1.32718894009,0.000280472128082
57,397,2,3,9.54838709677,0.00688372093023
57,403,2,2,0.331797235023,0.000196990424077
57,417,2,2,0.0737327188941,4.30663221361e-05
57,445,2,3,0.147465437788,4.32666306111e-05
57,446,2,2,0.0737327188941,4.30663221361e-05
57,464,2,2,3.17050691244,0.00229885057471
57,465,2,2,0.0737327188941,4.30663221361e-05
63,26,3,2,1.99078341014,0.000769773597437
63,27,3,2,41.7880184332,0.0170732220335
63,34,3,2,34.3225806452,0.0263888888889
63,35,3,2,8.35023041475,0.00279089464903
63,39,3,2,7.63133640553,0.00607947369967
63,44,3,3,70.9493087558,0.0290863440577
63,45,3,3,18.8940092166,0.0070598215087
63,47,3,2,7.63133640553,0.00607947369967
63,48,3,2,3.35483870968,0.00157779148352
63,50,3,4,29.2995391705,0.0105751622539
63,51,3,3,59.8156682028,0.0160433601153
63,52,3,2,3.35483870968,0.00157779148352
63,53,3,3,47.3271889401,0.0193222155247
63,59,3,3,8.36866359447,0.00531561461794
63,61,3,2,71.0967741935,0.0566872427984
63,68,3,2,47.0967741935,0.0427575537275
63,69,3,2,29.069124424,0.021063659996
63,71,3,2,77.400921659,0.0629558216448
63,76,3,2,5.08755760369,0.00404360056259
63,89,3,2,69.7695852535,0.0560467222588
63,95,3,2,4.90322580645,0.00366512345679
63,121,3,2,3.35483870968,0.00157779148352
63,126,3,3,312.175115207,0.165646675651
63,129,3,2,1.99078341014,0.000769773597437
63,133,3,2,3.63133640553,0.00176746910498
63,148,3,2,2.91244239631,0.00150570130316
63,149,3,2,303.225806452,0.312043619212
63,154,3,2,3.09677419355,0.0016003205796
63,158,3,2,5.08755760369,0.00404360056259
63,170,3,2,3.35483870968,0.00157779148352
63,187,3,2,205.032258065,0.14844069229
63,192,3,2,6.00921658986,0.00698731138546
63,199,3,2,334.451612903,0.336951908499
63,200,3,3,72.9032258065,0.0271712516179
63,203,3,2,79.9447004608,0.0652829295016
63,205,3,2,174.064516129,0.15484389348
63,211,3,2,7.35483870968,0.00551044083527
63,220,3,3,288.368663594,0.208355990886
63,221,3,2,265.677419355,0.260877247037
63,236,3,2,253.935483871,0.267198137328
63,245,3,2,261.419354839,0.366243695358
63,251,3,3,97.7511520737,0.0412929946356
63,269,3,2,4.90322580645,0.00366512345679
63,272,3,3,62.1935483871,0.0232547281182
63,296,3,3,9.81566820276,0.00274775138549
63,321,3,3,368.516129032,0.202589788592
63,330,3,3,267.695852535,0.167731568794
63,340,3,2,3.28110599078,0.000968354976794
63,343,3,4,57.9723502304,0.0203662209127
63,346,3,4,59.2258064516,0.0141004453446
63,361,3,2,18.8940092166,0.0129171224671
63,362,3,2,5.08755760369,0.00404360056259
63,374,3,3,330.02764977,0.165144871323
63,379,3,2,87.2073732719,0.0667820883345
63,385,3,2,53.935483871,0.0422734627832
63,390,3,3,298.377880184,0.150944944465
63,392,3,2,1.99078341014,0.000769773597437
63,396,3,4,55.1152073733,0.0166800746467
63,397,3,3,410.958525346,0.250784691732
63,403,3,2,19.0414746544,0.0158480491744
63,417,3,2,1.99078341014,0.000769773597437
63,445,3,3,7.18894009217,0.00282602296144
63,446,3,2,2.91244239631,0.00150570130316
63,464,3,2,110.396313364,0.0787232340897
63,465,3,2,4.90322580645,0.00366512345679
67,26,2,2,0.036866359447,2.14334705075e-05
67,27,2,2,0.847926267281,0.000548873615884
67,34,2,2,0.258064516129,0.000154320987654
67,35,2,2,0.147465437788,8.69414014954e-05
67,39,2,2,0.0552995391705,3.22248002062e-05
67,44,2,3,0.626728110599,0.000196759259259
67,45,2,3,0.350230414747,0.000105979473449
67,47,2,2,0.0552995391705,3.22248002062e-05
67,48,2,2,0.0552995391705,3.22248002062e-05
67,50,2,4,0.276497695853,5.52461769646e-05
67,51,2,3,1.12442396313,0.000378562208321
67,52,2,2,0.0552995391705,3.22248002062e-05
67,53,2,3,0.36866359447,0.000111826802648
67,59,2,3,0.0737327188941,2.1533161068e-05
67,61,2,2,7.46543778802,0.0646551724138
67,68,2,2,0.387096774194,0.000235404896422
67,69,2,2,0.239631336406,0.000142957684525
67,71,2,2,0.589861751152,0.000368527731712
67,76,2,2,0.036866359447,2.14334705075e-05
67,89,2,2,0.534562211982,0.00033150434385
67,95,2,2,0.036866359447,2.14334705075e-05
67,121,2,2,0.0552995391705,3.22248002062e-05
67,126,2,3,4.92165898618,0.00370093147039
67,129,2,2,0.036866359447,2.14334705075e-05
67,133,2,2,0.0552995391705,3.22248002062e-05
67,148,2,2,0.036866359447,2.14334705075e-05
67,149,2,2,3.70506912442,0.00399380066762
67,154,2,2,0.036866359447,2.14334705075e-05
67,158,2,2,0.036866359447,2.14334705075e-05
67,170,2,2,0.0552995391705,3.22248002062e-05
67,187,2,2,2.48847926267,0.00209030100334
67,192,2,2,0.036866359447,2.14334705075e-05
67,199,2,2,3.98156682028,0.0045871559633
67,200,2,3,0.645161290323,0.000203053931124
67,203,2,2,0.608294930876,0.000380991964533
67,205,2,2,1.30875576037,0.000905519844914
67,211,2,2,0.0552995391705,3.22248002062e-05
67,220,2,3,1.89861751152,0.000720320017903
67,221,2,2,2.02764976959,0.00157178783722
67,236,2,2,3.02304147465,0.00281207133059
67,245,2,2,1.67741935484,0.00122826908541
67,251,2,3,0.73732718894,0.000235006580184
67,269,2,2,0.036866359447,2.14334705075e-05
67,272,2,3,0.497695852535,0.000153562653563
67,296,2,3,0.129032258064,3.79477838494e-05
67,321,2,3,5.34562211982,0.00466177983539
67,330,2,3,2.10138248848,0.000824652777778
67,340,2,2,0.0921658986175,5.39583872917e-05
67,343,2,4,0.645161290323,0.000135369287416
67,346,2,4,0.516129032258,0.000106428267348
67,361,2,2,0.165898617512,9.80392156863e-05
67,362,2,2,0.036866359447,2.14334705075e-05
67,374,2,3,4.20276497696,0.00256202804746
67,379,2,2,0.718894009217,0.000457102672293
67,385,2,2,0.405529953917,0.00024721323265
67,390,2,3,3.98156682028,0.00229357798165
67,392,2,2,0.036866359447,2.14334705075e-05
67,396,2,4,0.663594470046,0.000139586823004
67,397,2,3,4.77419354839,0.00342592592593
67,403,2,2,0.165898617512,9.80392156863e-05
67,417,2,2,0.036866359447,2.14334705075e-05
67,445,2,3,0.0737327188941,2.1533161068e-05
67,446,2,2,0.036866359447,2.14334705075e-05
67,464,2,2,1.58525345622,0.00114410387399
67,465,2,2,0.036866359447,2.14334705075e-05
71,26,5,2,3.72350230415,0.00773342643608
71,27,5,2,73.400921659,0.019142514254
71,34,5,2,24.7741935484,0.00661157024793
71,35,5,2,14.1013824885,0.017182122988
71,39,5,2,4.89400921659,0.00524108411685
71,44,5,3,44.7741935484,0.00789320764463
71,45,5,3,18.5529953917,0.00230973161559
71,47,5,2,10.202764977,0.00987863644476
71,48,5,2,5.30875576037,0.00138060631627
71,50,5,4,21.4239631336,0.00581188868507
71,51,5,3,103.944700461,0.0150660689371
71,52,5,2,3.51152073733,0.000937833873923
71,53,5,3,62.3870967742,0.0311198024637
71,59,5,3,6.72811059908,0.00215837017106
71,61,5,2,51.3179723502,0.0142026323845
71,68,5,2,54.7096774194,0.0285507507387
71,69,5,2,15.2165898618,0.00341255674711
71,71,5,2,52.202764977,0.0164208228828
71,76,5,2,2.80184331797,0.00129349291281
71,89,5,2,47.3179723502,0.0126426109463
71,95,5,2,3.53917050691,0.000918273645546
71,121,5,2,5.2534562212,0.0416035486696
71,126,5,3,300.368663594,0.0813654272535
71,129,5,2,2.80184331797,0.00129349291281
71,133,5,2,7.58525345622,0.0209835115551
71,148,5,2,1.97235023041,0.000503137434956
71,149,5,2,332.01843318,0.157962434702
71,154,5,2,5.69585253456,0.00835613075196
71,158,5,2,6.80184331797,0.00657051282051
71,170,5,2,5.30875576037,0.00138060631627
71,187,5,2,187.594470046,0.0679820706303
71,192,5,2,5.97235023041,0.00340909090909
71,199,5,2,369.751152074,0.184392511949
71,200,5,3,55.1520737327,0.00736530035138
71,203,5,2,53.8341013825,0.0196544597268
71,205,5,2,121.640552995,0.0364070949139
71,211,5,2,5.30875576037,0.00138060631627
71,220,5,3,297.142857143,0.109341839155
71,221,5,2,190.65437788,0.0646319083681
71,236,5,2,271.059907834,0.132221573286
71,245,5,2,271.741935484,0.195361781076
71,251,5,3,66.4470046083,0.0544937029764
71,269,5,2,3.53917050691,0.000918273645546
71,272,5,3,47.7788018433,0.00657908095925
71,296,5,3,8.17050691244,0.0025764551519
71,321,5,3,286.267281106,0.0688050970576
71,330,5,3,276.599078341,0.0881342719269
71,340,5,2,3.93548387097,0.000539894519551
71,343,5,4,48.8847926267,0.00860214648818
71,346,5,4,49.3963133641,0.0301838092826
71,361,5,2,15.9262672811,0.00420029168692
71,362,5,2,3.53917050691,0.000918273645546
71,374,5,3,339.788018433,0.0952619972955
71,379,5,2,59.6221198157,0.037890053943
71,385,5,2,38.930875576,0.0105913503972
71,390,5,3,353.096774194,0.10565926563
71,392,5,2,3.53917050691,0.000918273645546
71,396,5,4,64.6451612903,0.0155881299554
71,397,5,3,348.092165899,0.0837690797055
71,403,5,2,21.6313364055,0.00934993428042
71,417,5,2,3.53917050691,0.000918273645546
71,445,5,3,6.34101382488,0.00463194310974
71,446,5,2,1.97235023041,0.000503137434956
71,464,5,2,108.811059908,0.0368212434148
71,465,5,2,3.53917050691,0.000918273645546
73,26,4,2,1.29032258065,0.000296771130104
73,27,4,2,62.801843318,0.0515694377402
73,34,4,2,37.8064516129,0.0515177117856
73,35,4,2,5.16129032258,0.00120380402071
73,39,4,2,1.93548387097,0.000446189541317
73,44,4,3,21.935483871,0.00272435897436
73,45,4,3,16.4884792627,0.00674102086
73,47,4,2,1.93548387097,0.000446189541317
73,48,4,2,1.93548387097,0.000446189541317
73,50,4,4,8.58986175115,0.00144887652346
73,51,4,3,102.101382488,0.0502770985345
73,52,4,2,10.1198156682,0.0125977485606
73,53,4,3,12.9032258065,0.00154837111359
73,59,4,3,2.58064516129,0.000298151460942
73,61,4,2,18.7096774194,0.00459006014562
73,68,4,2,13.5483870968,0.00325945241199
73,69,4,2,8.38709677419,0.00197941409343
73,71,4,2,20.6451612903,0.00510269166986
73,76,4,2,3.63133640553,0.00728869895537
73,89,4,2,18.7096774194,0.00459006014562
73,95,4,2,7.11520737327,0.0124099794239
73,121,4,2,2.67281105991,0.00124024166948
73,126,4,3,54.1751152074,0.00826345705043
73,129,4,2,1.29032258065,0.000296771130104
73,133,4,2,1.93548387097,0.000446189541317
73,148,4,2,1.29032258065,0.000296771130104
73,149,4,2,129.677419355,0.0552987784747
73,154,4,2,1.29032258065,0.000296771130104
73,158,4,2,1.29032258065,0.000296771130104
73,170,4,2,1.93548387097,0.000446189541317
73,187,4,2,87.0967741935,0.0289426292771
73,192,4,2,1.29032258065,0.000296771130104
73,199,4,2,99.5391705069,0.0442301157897
73,200,4,3,108.976958525,0.0931138619109
73,203,4,2,21.2903225806,0.00527527335507
73,205,4,2,95.2811059908,0.0747293679432
73,211,4,2,1.93548387097,0.000446189541317
73,220,4,3,64.7926267281,0.0407605989177
73,221,4,2,81.0322580645,0.0361730553397
73,236,4,2,105.806451613,0.0389363722697
73,245,4,2,58.7096774194,0.0170068027211
73,251,4,3,25.8064516129,0.00325393726409
73,269,4,2,7.96313364055,0.333333333333
73,272,4,3,60.0552995392,0.0398033687507
73,296,4,3,4.51612903226,0.0005254308533
73,321,4,3,124.156682028,0.0656810115262
73,330,4,3,71.9170506912,0.0195931347299
73,340,4,2,3.07834101382,0.00245173629789
73,343,4,4,63.5852534562,0.0306353699211
73,346,4,4,14.064516129,0.00100214243277
73,361,4,2,5.8064516129,0.00135746606335
73,362,4,2,1.29032258065,0.000296771130104
73,374,4,3,105.253456221,0.0244527131373
73,379,4,2,25.1612903226,0.00632911392405
73,385,4,2,78.267281106,0.143136461704
73,390,4,3,110.414746544,0.0267074413863
73,392,4,2,1.29032258065,0.000296771130104
73,396,4,4,34.2119815668,0.017697001491
73,397,4,3,122.304147465,0.0329468806838
73,403,4,2,5.8064516129,0.00135746606335
73,417,4,2,3.11520737327,0.00240508270022
73,445,4,3,2.58064516129,0.000298151460942
73,446,4,2,3.11520737327,0.00240508270022
73,464,4,2,33.9539170507,0.0116583218528
73,465,4,2,3.11520737327,0.00240508270022
83,26,2,2,0.036866359447,2.14334705075e-05
83,27,2,2,3.15207373272,0.00758488346033
83,34,2,2,0.258064516129,0.000154320987654
83,35,2,2,0.147465437788,8.69414014954e-05
83,39,2,2,0.0552995391705,3.22248002062e-05
83,44,2,3,3.41013824885,0.00616174768519
83,45,2,3,0.350230414747,0.000105979473449
83,47,2,2,0.0552995391705,3.22248002062e-05
83,48,2,2,0.0552995391705,3.22248002062e-05
83,50,2,4,0.276497695853,5.52461769646e-05
83,51,2,3,2.94930875576,0.00276479974636
83,52,2,2,0.0552995391705,3.22248002062e-05
83,53,2,3,0.36866359447,0.000111826802648
83,59,2,3,0.0737327188941,2.1533161068e-05
83,61,2,2,0.534562211982,0.00033150434385
83,68,2,2,0.387096774194,0.000235404896422
83,69,2,2,0.239631336406,0.000142957684525
83,71,2,2,3.41013824885,0.0123172476737
83,76,2,2,0.036866359447,2.14334705075e-05
83,89,2,2,3.46543778802,0.0139318543746
83,95,2,2,0.036866359447,2.14334705075e-05
83,121,2,2,0.0552995391705,3.22248002062e-05
83,126,2,3,3.70506912442,0.00199690033381
83,129,2,2,0.036866359447,2.14334705075e-05
83,133,2,2,3.94470046083,0.163974105583
83,148,2,2,0.036866359447,2.14334705075e-05
83,149,2,2,4.29493087558,0.00536668509305
83,154,2,2,0.036866359447,2.14334705075e-05
83,158,2,2,0.036866359447,2.14334705075e-05
83,170,2,2,0.0552995391705,3.22248002062e-05
83,187,2,2,5.51152073733,0.0102537722908
83,192,2,2,0.036866359447,2.14334705075e-05
83,199,2,2,4.01843317972,0.00467249657064
83,200,2,3,0.645161290323,0.000203053931124
83,203,2,2,3.39170506912,0.0118446868239
83,205,2,2,1.30875576037,0.000905519844914
83,211,2,2,0.0552995391705,3.22248002062e-05
83,220,2,3,1.89861751152,0.000720320017903
83,221,2,2,2.02764976959,0.00157178783722
83,236,2,2,4.97695852535,0.00762195121951
83,245,2,2,1.67741935484,0.00122826908541
83,251,2,3,7.42857142857,0.0300925925926
83,269,2,2,0.036866359447,2.14334705075e-05
83,272,2,3,0.497695852535,0.000153562653563
83,296,2,3,0.129032258064,3.79477838494e-05
83,321,2,3,3.04147465438,0.00141986782321
83,330,2,3,2.10138248848,0.000824652777778
83,340,2,2,0.0921658986175,5.39583872917e-05
83,343,2,4,0.645161290323,0.000135369287416
83,346,2,4,7.72350230415,0.0431069958848
83,361,2,2,0.165898617512,9.80392156863e-05
83,362,2,2,0.036866359447,2.14334705075e-05
83,374,2,3,4.16589861751,0.124483099604
83,379,2,2,7.28110599078,0.0468898385565
83,385,2,2,0.405529953917,0.00024721323265
83,390,2,3,3.98156682028,0.00229357798165
83,392,2,2,0.036866359447,2.14334705075e-05
83,396,2,4,3.96313364055,0.0825966251008
83,397,2,3,3.41013824885,0.00664027446362
83,403,2,2,0.165898617512,9.80392156863e-05
83,417,2,2,0.036866359447,2.14334705075e-05
83,445,2,3,0.0737327188941,2.1533161068e-05
83,446,2,2,0.036866359447,2.14334705075e-05
83,464,2,2,1.58525345622,0.00114410387399
83,465,2,2,0.036866359447,2.14334705075e-05
88,26,3,2,0.552995391705,7.91407387519e-05
88,27,3,2,78.6728110599,0.0438009163025
88,34,3,2,25.1612903226,0.0135983263598
88,35,3,2,10.2119815668,0.00393403762697
88,39,3,2,7.77880184332,0.0813305706168
88,44,3,3,43.1520737327,0.0208229476652
88,45,3,3,18.1474654378,0.00449183573396
88,47,3,2,6.82949308756,0.00459694529573
88,48,3,2,5.39170506912,0.00283955770855
88,50,3,4,21.2534562212,0.0147163004842
88,51,3,3,111.640552995,0.154190550439
88,52,3,2,1.39170506912,0.00022600693787
88,53,3,3,41.0506912442,0.0151353014787
88,59,3,3,4.6267281106,0.00246243233554
88,61,3,2,52.1198156682,0.0292112195878
88,68,3,2,39.8064516129,0.0232960034205
88,69,3,2,15.3640552995,0.00548211874952
88,71,3,2,43.1520737327,0.0543802806099
88,76,3,2,4.40552995392,0.0304229488513
88,89,3,2,49.9815668203,0.0664626717325
88,95,3,2,3.59447004608,0.00188865643887
88,121,3,2,5.39170506912,0.00283955770855
88,126,3,3,297.391705069,0.133135782113
88,129,3,2,0.552995391705,7.91407387519e-05
88,133,3,2,2.82949308756,0.000811802800264
88,148,3,2,0.552995391705,7.91407387519e-05
88,149,3,2,338.755760369,0.312338793051
88,154,3,2,4.55299539171,0.00305753614577
88,158,3,2,4.55299539171,0.00305753614577
88,170,3,2,5.39170506912,0.00283955770855
88,187,3,2,197.373271889,0.122056489453
88,192,3,2,4.55299539171,0.00305753614577
88,199,3,2,375.797235023,0.38081061694
88,200,3,3,60.0184331797,0.0318190652119
88,203,3,2,40.8755760369,0.0510217580607
88,205,3,2,127.603686636,0.0797918323593
88,211,3,2,5.39170506912,0.00283955770855
88,220,3,3,225.520737327,0.0983789678128
88,221,3,2,197.695852535,0.138501472183
88,236,3,2,265.253456221,0.201036605035
88,245,3,2,207.161290323,0.175215540762
88,251,3,3,21.4147465438,0.0108029542093
88,269,3,2,3.59447004608,0.00188865643887
88,272,3,3,46.8294930876,0.0130798114585
88,296,3,3,11.5299539171,0.030965028277
88,321,3,3,293.769585253,0.123397400288
88,330,3,3,196.801843318,0.0694995089623
88,340,3,2,3.38248847926,0.000734568499095
88,343,3,4,41.4377880184,0.011148585458
88,346,3,4,30.5760368664,0.0373740270866
88,361,3,2,16.1751152074,0.00863893674625
88,362,3,2,3.59447004608,0.00188865643887
88,374,3,3,335.041474654,0.152555515939
88,379,3,2,31.2165898618,0.0375909296756
88,385,3,2,37.9170506912,0.0204689825398
88,390,3,3,348.516129032,0.166830144618
88,392,3,2,3.59447004608,0.00188865643887
88,396,3,4,37.5115207373,0.0189663801109
88,397,3,3,345.216589862,0.178608968082
88,403,3,2,16.4884792627,0.00906544561306
88,417,3,2,3.59447004608,0.00188865643887
88,445,3,3,4.6267281106,0.00246243233554
88,446,3,2,4.40552995392,0.0304229488513
88,464,3,2,51.7788018433,0.0114418942943
88,465,3,2,3.59447004608,0.00188865643887
91,26,2,2,0.534562211982,8.41878247388e-05
91,27,2,2,75.7050691244,0.0817385413631
91,34,2,2,24.2580645161,0.0254742547425
91,35,2,2,10.1382488479,0.00767702275464
91,39,2,2,1.19815668203,0.000282615009593
91,44,2,3,43.4470046083,0.0214239264401
91,45,2,3,16.9216589862,0.00817801564327
91,47,2,2,6.80184331797,0.00910796267957
91,48,2,2,5.19815668203,0.00531944994624
91,50,2,4,20.7926267281,0.0101499067598
91,51,2,3,105.695852535,0.0624904640467
91,52,2,2,1.19815668203,0.000282615009593
91,53,2,3,40.8110599078,0.029883835687
91,59,2,3,4.53456221198,0.0047766741893
91,61,2,2,50.2488479263,0.0547224731507
